"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC1",55.4842785048294,3.83359232691929,0
"PC2",23.0774864545195,1.59449987240853,3.83359232691929
"PC3",20.0132863451596,1.38278415141623,5.42809219932781
"PC4",15.1051058225759,1.04366172435117,6.81087635074405
"PC5",12.2064685799236,0.843385289451018,7.85453807509522
"PC6",8.13671093115697,0.562192271984371,8.69792336454624
"PC7",7.61516242731788,0.52615676073122,9.26011563653061
"PC8",7.1449876322472,0.493670828945391,9.78627239726183
"PC9",6.6923234506371,0.462394763363307,10.2799432262072
"PC10",6.40666901269254,0.442657953388218,10.7423379895705
"PC11",6.3581957029268,0.439308772081623,11.1849959429587
"PC12",6.20830805268709,0.428952538544065,11.6243047150404
"PC13",6.12117105495804,0.422931955148432,12.0532572535844
"PC14",6.03583872964954,0.417036062539638,12.4761892087329
"PC15",5.93739879903307,0.410234522124168,12.8932252712725
"PC16",5.81109063964561,0.401507473603336,13.3034597933967
"PC17",5.79301638949774,0.400258663876528,13.704967267
"PC18",5.7027421389981,0.394021317309903,14.1052259308765
"PC19",5.6595400753349,0.391036343832201,14.4992472481864
"PC20",5.56423449830913,0.384451366273796,14.8902835920186
"PC21",5.53811105605491,0.382646411240096,15.2747349582924
"PC22",5.50542351356597,0.380387920809144,15.6573813695325
"PC23",5.44609709186963,0.376288862100489,16.0377692903417
"PC24",5.38539808607182,0.372094967016175,16.4140581524422
"PC25",5.38257394360174,0.371899837671518,16.7861531194583
"PC26",5.35422887504875,0.369941383128375,17.1580529571299
"PC27",5.32928840338464,0.368218163445651,17.5279943402582
"PC28",5.25250239401352,0.36291276407357,17.8962125037039
"PC29",5.23244215184027,0.361526735588676,18.2591252677775
"PC30",5.19547397185296,0.358972481753922,18.6206520033661
"PC31",5.17699883102865,0.357695973164256,18.9796244851201
"PC32",5.15653728147897,0.356282217025321,19.3373204582843
"PC33",5.11198750115194,0.353204125345482,19.6936026753096
"PC34",5.07591524316828,0.350711773725396,20.0468068006551
"PC35",5.06946201496755,0.350265898843703,20.3975185743805
"PC36",5.03037936072692,0.347565548988753,20.7477844732242
"PC37",5.01473963691684,0.346484948739292,21.095350022213
"PC38",4.99989706392858,0.345459426276842,21.4418349709523
"PC39",4.97320231759126,0.343614997954342,21.7872943972291
"PC40",4.95940903220409,0.342661974242973,22.1309093951834
"PC41",4.90699376295445,0.339040429916839,22.4735713694264
"PC42",4.86605450070013,0.336211800873132,22.8126117993433
"PC43",4.85675489598591,0.335569260423179,23.1488236002164
"PC44",4.8305791456742,0.333760691252768,23.4843928606396
"PC45",4.80449690085745,0.331958582686291,23.8181535518923
"PC46",4.78237393462482,0.330430033773274,24.1501121345786
"PC47",4.75096082575211,0.328259598176304,24.4805421683519
"PC48",4.73847380212041,0.327396828410335,24.8088017665282
"PC49",4.72939324134434,0.326769422430599,25.1361985949385
"PC50",4.71390988622206,0.325699626210998,25.4629680173691
"PC51",4.6778040046024,0.323204951422685,25.7886676435801
"PC52",4.66413304035396,0.322260379283392,26.1118725950028
"PC53",4.65332399392826,0.321513546512822,26.4341329742862
"PC54",4.63735014967037,0.320409860776454,26.755646520799
"PC55",4.6174210281851,0.319032891853599,27.0760563815755
"PC56",4.59561714362291,0.317526389348616,27.3950892734291
"PC57",4.58951908213712,0.317105054110041,27.7126156627777
"PC58",4.56776394483052,0.315601919714189,28.0297207168877
"PC59",4.56366203309932,0.315318505064811,28.3453226366019
"PC60",4.52895861982529,0.312920731453433,28.6606411416667
"PC61",4.5154606209652,0.311988110064938,28.9735618731202
"PC62",4.50055715488264,0.310958380297187,29.2855499831851
"PC63",4.49474664022136,0.310556912619835,29.5965083634823
"PC64",4.46863278518211,0.308752619998528,29.9070652761021
"PC65",4.44575160893521,0.307171683847698,30.2158178961007
"PC66",4.43567146743473,0.306475213529405,30.5229895799484
"PC67",4.43273114963065,0.30627205724665,30.8294647934778
"PC68",4.40598561867398,0.304424120046819,31.1357368507244
"PC69",4.3800674313966,0.302633346758389,31.4401609707712
"PC70",4.3730165073758,0.302146175095492,31.7427943175296
"PC71",4.3550100140229,0.300902046909769,32.0449404926251
"PC72",4.33669570129057,0.299636650464948,32.3458425395349
"PC73",4.31124973814578,0.297878504703812,32.6454791899998
"PC74",4.30473187603827,0.29742816405171,32.9433576947036
"PC75",4.28891466030769,0.296335300298373,33.2407858587554
"PC76",4.2753184256861,0.295395891476183,33.5371211590537
"PC77",4.26350676056268,0.294579784463431,33.8325170505299
"PC78",4.25233808420238,0.293808103671133,34.1270968349933
"PC79",4.23066442145533,0.292310598622093,34.4209049386645
"PC80",4.20702642399723,0.290677371190448,34.7132155372866
"PC81",4.19019767460477,0.289514617230567,35.003892908477
"PC82",4.18517221014431,0.289167391268295,35.2934075257076
"PC83",4.1811457186677,0.288889187653774,35.5825749169759
"PC84",4.16737479543892,0.287937709017896,35.8714641046297
"PC85",4.16000123971707,0.287428245663607,36.1594018136475
"PC86",4.14375103731616,0.286305465429029,36.4468300593112
"PC87",4.13359805550387,0.28560396233266,36.7331355247402
"PC88",4.11094591386401,0.284038850940407,37.0187394870728
"PC89",4.09787598211302,0.283135806124395,37.3027783380132
"PC90",4.08791848027361,0.28244780938594,37.5859141441376
