"ID","Group"
"W0101","4"
"W0102","4"
"W0103","4"
"W0106","4"
"W0107","4"
"W0108","4"
"W0120","7"
"W0121","3"
"W0123","4"
"W0124","4"
"W0125","2"
"W0126","2"
"W0128","4"
"W0130","4"
"W0132","2"
"W0133","2"
"W0134","2"
"W0135","2"
"W0136","2"
"W0137","2"
"W0138","2"
"W0141","2"
"W0143","4"
"W0144","4"
"W0145","4"
"W0147","3"
"W0148","4"
"W0149","4"
"W0151","4"
"W0152","4"
"W0153","2"
"W0157","2"
"W0163","3"
"W0164","3"
"W0165","7"
"W0166","7"
"W0168","5"
"W0169","5"
"W0170","5"
"W0171","5"
"W0172","2"
"W0173","2"
"W0174","7"
"W0175","7"
"W0176","3"
"W0178","3"
"W0179","3"
"W0180","3"
"W0234","2"
"W0549","2"
"W0573","2"
"W0574","2"
"W0576","7"
"W0587","7"
"W0589","4"
"W0590","4"
"W0593","2"
"W0594","2"
"W0596","7"
"W0600","7"
"W0605","4"
"W0606","4"
"W0610","5"
"W0621","5"
"W0623","7"
"W0624","7"
"W0625","5"
"W0626","5"
"W0627","7"
"W0628","5"
"W0629","5"
"W0630","5"
"W0631","3"
"W0632","3"
"W0633","5"
"W0634","7"
"W0635","3"
"W0637","1"
"W0638","3"
"W0639","3"
"W1080","4"
"W1082","4"
"W1083","4"
"W1084","4"
"W1086","3"
"W1087","3"
"W1090","3"
"W1092","3"
"W1093","7"
"W1096","7"
"W1102","4"
"W1105","4"
"W1107","3"
"W1111","3"
"W1112","3"
"W1114","3"
"W1117","3"
"W1119","3"
"W1121","4"
"W1122","4"
"W1124","7"
"W1126","3"
"W1142","4"
"W1143","4"
"W1161","2"
"W1214","2"
"W1230","5"
"W1236","5"
"W1238","2"
"W1244","2"
"W1292","2"
"W1294","2"
"W1295","4"
"W1532","4"
"W1533","2"
"W1534","4"
"W1536","2"
"W1542","2"
"W1546","5"
"W1547","5"
"W1550","5"
"W1551","5"
"W1552","7"
"W1553","7"
"W1554","7"
"W1555","7"
"W1556","7"
"W1557","7"
"W1558","3"
"W1559","3"
"W1560","5"
"W1619","5"
"W1666","3"
"W1668","3"
"W1669","3"
