"Chr","Start","End","Count","Diff","IBS_ratio"
"Chr01",0,5e+05,42,38,9.52
"Chr01",1e+05,6e+05,49,37,24.49
"Chr01",2e+05,7e+05,49,32,34.69
"Chr01",3e+05,8e+05,34,16,52.94
"Chr01",4e+05,9e+05,22,0,100
"Chr01",5e+05,1e+06,20,0,100
"Chr01",6e+05,1100000,13,0,100
"Chr01",7e+05,1200000,8,0,100
"Chr01",8e+05,1300000,15,0,100
"Chr01",9e+05,1400000,17,0,100
"Chr01",1e+06,1500000,24,0,100
"Chr01",1100000,1600000,30,1,96.67
"Chr01",1200000,1700000,34,1,97.06
"Chr01",1300000,1800000,27,1,96.3
"Chr01",1400000,1900000,22,1,95.45
"Chr01",1500000,2e+06,18,1,94.44
"Chr01",1600000,2100000,11,0,100
"Chr01",1700000,2200000,9,0,100
"Chr01",1800000,2300000,17,0,100
"Chr01",1900000,2400000,15,0,100
"Chr01",2e+06,2500000,12,0,100
"Chr01",2100000,2600000,12,0,100
"Chr01",2200000,2700000,10,0,100
"Chr01",3e+06,3500000,5,1,80
"Chr01",3100000,3600000,10,4,60
"Chr01",3200000,3700000,10,4,60
"Chr01",3300000,3800000,10,4,60
"Chr01",3400000,3900000,10,4,60
"Chr01",3500000,4e+06,6,3,50
"Chr01",3600000,4100000,8,0,100
"Chr01",3700000,4200000,10,0,100
"Chr01",3800000,4300000,12,0,100
"Chr01",3900000,4400000,14,0,100
"Chr01",4e+06,4500000,15,0,100
"Chr01",4100000,4600000,8,0,100
"Chr01",4200000,4700000,7,0,100
"Chr01",4300000,4800000,5,0,100
"Chr01",4400000,4900000,4,0,100
"Chr01",4500000,5e+06,4,0,100
"Chr01",4600000,5100000,5,0,100
"Chr01",4700000,5200000,6,0,100
"Chr01",4800000,5300000,6,0,100
"Chr01",4900000,5400000,9,0,100
"Chr01",5e+06,5500000,16,0,100
"Chr01",5100000,5600000,25,0,100
"Chr01",5200000,5700000,30,0,100
"Chr01",5300000,5800000,33,0,100
"Chr01",5400000,5900000,36,0,100
"Chr01",5500000,6e+06,31,0,100
"Chr01",5600000,6100000,44,0,100
"Chr01",5700000,6200000,39,1,97.44
"Chr01",5800000,6300000,45,2,95.56
"Chr01",5900000,6400000,40,2,95
"Chr01",6e+06,6500000,53,2,96.23
"Chr01",6100000,6600000,38,2,94.74
"Chr01",6200000,6700000,39,1,97.44
"Chr01",6300000,6800000,38,0,100
"Chr01",6400000,6900000,49,0,100
"Chr01",6500000,7e+06,47,0,100
"Chr01",6600000,7100000,41,0,100
"Chr01",6700000,7200000,44,0,100
"Chr01",6800000,7300000,36,0,100
"Chr01",6900000,7400000,29,0,100
"Chr01",7e+06,7500000,19,0,100
"Chr01",7100000,7600000,22,0,100
"Chr01",7200000,7700000,23,0,100
"Chr01",7300000,7800000,31,0,100
"Chr01",7400000,7900000,32,0,100
"Chr01",7500000,8e+06,31,0,100
"Chr01",7600000,8100000,35,0,100
"Chr01",7700000,8200000,30,0,100
"Chr01",7800000,8300000,22,0,100
"Chr01",7900000,8400000,21,0,100
"Chr01",8e+06,8500000,17,0,100
"Chr01",8100000,8600000,10,0,100
"Chr01",8200000,8700000,23,0,100
"Chr01",8300000,8800000,44,1,97.73
"Chr01",8400000,8900000,39,1,97.44
"Chr01",8500000,9e+06,43,1,97.67
"Chr01",8600000,9100000,46,1,97.83
"Chr01",8700000,9200000,34,1,97.06
"Chr01",8800000,9300000,13,0,100
"Chr01",8900000,9400000,17,0,100
"Chr01",9e+06,9500000,15,0,100
"Chr01",9100000,9600000,16,0,100
"Chr01",9200000,9700000,22,0,100
"Chr01",9300000,9800000,28,0,100
"Chr01",9400000,9900000,28,0,100
"Chr01",9500000,1e+07,34,0,100
"Chr01",9600000,10100000,30,0,100
"Chr01",9700000,10200000,21,0,100
"Chr01",9800000,10300000,18,0,100
"Chr01",9900000,10400000,20,2,90
"Chr01",1e+07,10500000,27,2,92.59
"Chr01",10100000,10600000,37,2,94.59
"Chr01",10200000,10700000,49,2,95.92
"Chr01",10300000,10800000,46,2,95.65
"Chr01",10400000,10900000,41,0,100
"Chr01",10500000,1.1e+07,32,0,100
"Chr01",10600000,11100000,27,0,100
"Chr01",10700000,11200000,29,1,96.55
"Chr01",10800000,11300000,40,1,97.5
"Chr01",10900000,11400000,47,2,95.74
"Chr01",1.1e+07,11500000,48,3,93.75
"Chr01",11100000,11600000,44,3,93.18
"Chr01",11200000,11700000,30,2,93.33
"Chr01",11300000,11800000,20,2,90
"Chr01",11400000,11900000,19,1,94.74
"Chr01",11500000,1.2e+07,12,0,100
"Chr01",11600000,12100000,9,0,100
"Chr01",11700000,12200000,9,0,100
"Chr01",11800000,12300000,11,0,100
"Chr01",11900000,12400000,3,0,100
"Chr01",1.2e+07,12500000,3,0,100
"Chr01",12100000,12600000,3,0,100
"Chr01",12200000,12700000,3,0,100
"Chr01",12800000,13300000,2,0,100
"Chr01",12900000,13400000,5,0,100
"Chr01",1.3e+07,13500000,5,0,100
"Chr01",13100000,13600000,7,0,100
"Chr01",13200000,13700000,7,0,100
"Chr01",13300000,13800000,5,0,100
"Chr01",13400000,13900000,2,0,100
"Chr01",13500000,1.4e+07,3,0,100
"Chr01",13600000,14100000,1,0,100
"Chr01",13700000,14200000,1,0,100
"Chr01",13800000,14300000,16,1,93.75
"Chr01",13900000,14400000,41,1,97.56
"Chr01",1.4e+07,14500000,46,1,97.83
"Chr01",14100000,14600000,46,1,97.83
"Chr01",14200000,14700000,46,1,97.83
"Chr01",14300000,14800000,32,0,100
"Chr01",14400000,14900000,22,0,100
"Chr01",14500000,1.5e+07,16,0,100
"Chr01",14600000,15100000,16,0,100
"Chr01",14700000,15200000,17,0,100
"Chr01",14800000,15300000,16,0,100
"Chr01",14900000,15400000,1,0,100
"Chr01",1.5e+07,15500000,3,0,100
"Chr01",15100000,15600000,6,0,100
"Chr01",15200000,15700000,18,0,100
"Chr01",15300000,15800000,23,1,95.65
"Chr01",15400000,15900000,68,1,98.53
"Chr01",15500000,1.6e+07,82,1,98.78
"Chr01",15600000,16100000,85,1,98.82
"Chr01",15700000,16200000,78,1,98.72
"Chr01",15800000,16300000,77,0,100
"Chr01",15900000,16400000,37,0,100
"Chr01",1.6e+07,16500000,35,2,94.29
"Chr01",16100000,16600000,31,2,93.55
"Chr01",16200000,16700000,30,3,90
"Chr01",16300000,16800000,29,3,89.66
"Chr01",16400000,16900000,24,3,87.5
"Chr01",16500000,1.7e+07,10,1,90
"Chr01",16600000,17100000,14,1,92.86
"Chr01",16700000,17200000,18,0,100
"Chr01",16800000,17300000,26,0,100
"Chr01",16900000,17400000,36,0,100
"Chr01",1.7e+07,17500000,46,0,100
"Chr01",17100000,17600000,49,0,100
"Chr01",17200000,17700000,47,0,100
"Chr01",17300000,17800000,41,0,100
"Chr01",17400000,17900000,42,0,100
"Chr01",17500000,1.8e+07,51,0,100
"Chr01",17600000,18100000,43,0,100
"Chr01",17700000,18200000,36,0,100
"Chr01",17800000,18300000,32,0,100
"Chr01",17900000,18400000,21,0,100
"Chr01",1.8e+07,18500000,2,0,100
"Chr01",18100000,18600000,1,0,100
"Chr01",18200000,18700000,1,0,100
"Chr01",18300000,18800000,1,0,100
"Chr01",18400000,18900000,1,0,100
"Chr01",18500000,1.9e+07,1,0,100
"Chr01",18600000,19100000,1,0,100
"Chr01",18700000,19200000,1,0,100
"Chr01",18800000,19300000,4,0,100
"Chr01",18900000,19400000,4,0,100
"Chr01",1.9e+07,19500000,5,0,100
"Chr01",19100000,19600000,5,0,100
"Chr01",19200000,19700000,5,0,100
"Chr01",19300000,19800000,1,0,100
"Chr01",19400000,19900000,1,0,100
"Chr01",19500000,2e+07,2,0,100
"Chr01",19600000,20100000,2,0,100
"Chr01",19700000,20200000,2,0,100
"Chr01",19800000,20300000,2,0,100
"Chr01",19900000,20400000,5,0,100
"Chr01",2e+07,20500000,4,0,100
"Chr01",20100000,20600000,9,1,88.89
"Chr01",20200000,20700000,11,1,90.91
"Chr01",20300000,20800000,12,1,91.67
"Chr01",20400000,20900000,9,1,88.89
"Chr01",20500000,2.1e+07,14,1,92.86
"Chr01",20600000,21100000,14,0,100
"Chr01",20700000,21200000,18,0,100
"Chr01",20800000,21300000,17,0,100
"Chr01",20900000,21400000,20,2,90
"Chr01",2.1e+07,21500000,14,2,85.71
"Chr01",21100000,21600000,9,2,77.78
"Chr01",21200000,21700000,6,2,66.67
"Chr01",21300000,21800000,7,2,71.43
"Chr01",21400000,21900000,13,0,100
"Chr01",21500000,2.2e+07,13,0,100
"Chr01",21600000,22100000,16,0,100
"Chr01",21700000,22200000,15,0,100
"Chr01",21800000,22300000,14,0,100
"Chr01",21900000,22400000,6,0,100
"Chr01",2.2e+07,22500000,15,0,100
"Chr01",22100000,22600000,13,0,100
"Chr01",22200000,22700000,11,0,100
"Chr01",22300000,22800000,18,0,100
"Chr01",22400000,22900000,27,0,100
"Chr01",22500000,2.3e+07,26,0,100
"Chr01",22600000,23100000,27,0,100
"Chr01",22700000,23200000,31,0,100
"Chr01",22800000,23300000,35,0,100
"Chr01",22900000,23400000,25,0,100
"Chr01",2.3e+07,23500000,17,0,100
"Chr01",23100000,23600000,16,0,100
"Chr01",23200000,23700000,13,0,100
"Chr01",23300000,23800000,7,0,100
"Chr01",23400000,23900000,20,1,95
"Chr01",23500000,2.4e+07,27,1,96.3
"Chr01",23600000,24100000,32,1,96.88
"Chr01",23700000,24200000,37,1,97.3
"Chr01",23800000,24300000,36,1,97.22
"Chr01",23900000,24400000,31,0,100
"Chr01",2.4e+07,24500000,34,0,100
"Chr01",24100000,24600000,38,0,100
"Chr01",24200000,24700000,51,0,100
"Chr01",24300000,24800000,50,1,98
"Chr01",24400000,24900000,42,1,97.62
"Chr01",24500000,2.5e+07,37,2,94.59
"Chr01",24600000,25100000,27,2,92.59
